type,author_key,person_id,female,note
gender,,521382,1,"顾太清:本名顾春,西林觉罗氏,号太清,奕绘侧福晋,著《天游阁集》《东海渔歌》;况周颐《蕙风词话》有'男中成容若,女中太清春'之语。CBDB c_female 字段为空,据文献补注女性。"
identity,贺双卿,56149,,"贺双卿:清雍乾间金坛绡山农家词人,史震林《西青散记》载其人其词。CBDB 56149(有编年 1715)与 567224 为同人重复条目,取有编年者归人。"
identity,刘采春,92643,,"刘采春:中唐越州女艺人/诗人,《啰唝曲》(望夫歌)系列传世;元稹有《赠刘采春》,范摅《云溪友议》卷下载其人其歌。CBDB 劉采春(92643,女)与劉採春(449801,性别空白)为繁简异写重复条目,取标性别者归人。"
identity,黄崇嘏,94446,,"黄崇嘏:唐末五代前蜀临邛人,女扮男装仕蜀,事见《玉溪编事》(《太平广记》卷三六七引),后世《女驸马》本事源头之一;存诗二首(《下狱贡诗》《辞蜀相妻女诗》)。CBDB 三条同名条目:94446(女)/383718(标男)/448871(性别空白),重复且性别冲突,据文献取 94446 归人。"
identity,黎瑜娘,566256,,"黎瑜娘:明代琼山女诗人,《闺情集古》等传世。CBDB 同名/繁简候选三条:122738 黎瑜孃(MQWW 导入,无籍贯)、566256(女,明,籍贯瓊山,《闺海吟》上册)、566257(女,明,籍贯廣州府);据琼山籍贯及作品锚点取 566256。"
identity,冯银,566162,,"冯银:明代琼山女诗人,字汝白。CBDB 馮銀三候选:198581 为临海男性进士、325012 为汝宁府男性进士、566162 为女性(明,籍贯瓊山,ALTNAME 汝白,《闺海吟》上册);据字汝白+琼山消歧取 566162。"
identity,叶纨纨,56134,,"叶纨纨:明,字昭齐,午梦堂叶绍袁/沈宜修长女,叶小纨、叶小鸾之姊。CBDB 同键候选 56134 葉紈紈(女,明,1610-1633,KIN 挂叶绍袁56130/沈宜修56124为长女、叶小纨56135/叶小鸾56140之姊)与 565879 葉纨纨(男,无午梦堂亲属链);据性别+KIN 取 56134。"
identity,吴藻,54620,,"吴藻:清代女词人,1799-1862,字苹香,号玉岑子,《花帘词》《香南雪北词》《乔影》。CBDB 同键六候选中 54620 为女性清人(黟县,MQWW #199/胡文楷 #317),余五为宋/明/清男性排除。"
identity,熊琏,55442,,"熊琏:清代女诗词作者,1766-1820,字商珍,号澹仙,《澹仙诗钞》《绿溪女史词》。CBDB 同键 55442 为女性清人(MQWW #213/胡文楷 #699,ALTNAME 商珍/澹僊),余两候选为明男性。"
identity,张乔,566553,,"张乔:明末广州女诗人/名妓莲香,《莲香集》。CBDB 同键含唐男张乔 93402/153082/176408、明男进士 303767/509836,及 566553(女,明,广州府,《闺海吟》上册)——取 566553。语料题名多见彭孟阳/黎美周/珠江/粤秀山等岭南交游,与莲香集闭合;唐张乔行经 build_match 朝代护栏隔离:未过滤候选集本含 566553,但其系明代(c_dy=19)不在唐 pool 的 allowed 集内,故本 override 不作用于唐张乔(仍 multi_consensus 排除),仅归明代张乔。"
identity,徐灿,54845,,"徐灿:清初女词人,约1610-1678,字湘蘋,陈之遴妻,《拙政园诗馀》《拙政园诗集》,清初第一女词人。CBDB 同键 54845 为女性清人(ALTNAME 明深/湘蘋),余为同名男性。"
